,IP,Time,URL,Status,month,day,Methods,URL_new
0,10.128.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
1,10.128.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Nov,29,POST ,process.php HTTP
2,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Nov,29,GET ,home.php HTTP
3,10.131.2.1,29/Nov/2017,GET /js/vendor/moment.min.js HTTP/1.1,200,Nov,29,GET ,js
4,10.130.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Nov,29,GET ,bootstrap-3.3.7
5,10.130.2.1,29/Nov/2017,GET /profile.php?user=bala HTTP/1.1,200,Nov,29,GET ,profile.php?user=bala HTTP
6,10.128.2.1,29/Nov/2017,GET /js/jquery.min.js HTTP/1.1,200,Nov,29,GET ,js
7,10.131.2.1,29/Nov/2017,GET /js/chart.min.js HTTP/1.1,200,Nov,29,GET ,js
8,10.131.2.1,29/Nov/2017,GET /edit.php?name=bala HTTP/1.1,200,Nov,29,GET ,edit.php?name=bala HTTP
9,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Nov,29,GET ,logout.php HTTP
10,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
11,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
12,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
13,10.130.2.1,29/Nov/2017,GET / HTTP/1.1,302,Nov,29,GET , HTTP
14,10.130.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
15,10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Nov,29,POST ,process.php HTTP
16,10.131.0.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Nov,29,GET ,home.php HTTP
17,10.131.0.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
18,10.130.2.1,29/Nov/2017,GET / HTTP/1.1,302,Nov,29,GET , HTTP
19,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
20,10.131.2.1,29/Nov/2017,GET /css/bootstrap.min.css HTTP/1.1,200,Nov,29,GET ,css
21,10.128.2.1,29/Nov/2017,GET /css/font-awesome.min.css HTTP/1.1,200,Nov,29,GET ,css
22,10.131.0.1,29/Nov/2017,GET /css/normalize.css HTTP/1.1,200,Nov,29,GET ,css
23,10.128.2.1,29/Nov/2017,GET /css/style.css HTTP/1.1,200,Nov,29,GET ,css
24,10.131.0.1,29/Nov/2017,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Nov,29,GET ,js
25,10.129.2.1,29/Nov/2017,GET /css/main.css HTTP/1.1,200,Nov,29,GET ,css
26,10.131.0.1,29/Nov/2017,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Nov,29,GET ,js
27,10.128.2.1,29/Nov/2017,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Nov,29,GET ,bootstrap-3.3.7
28,10.131.2.1,29/Nov/2017,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Nov,29,GET ,fonts
29,10.131.2.1,29/Nov/2017,GET / HTTP/1.1,200,Nov,29,GET , HTTP
30,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
31,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Nov,29,GET ,logout.php HTTP
32,10.131.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
33,10.131.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Nov,29,POST ,process.php HTTP
34,10.131.2.1,29/Nov/2017,GET /login.php?value=fail HTTP/1.1,200,Nov,29,GET ,login.php?value=fail HTTP
35,10.131.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Nov,29,POST ,process.php HTTP
36,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Nov,29,GET ,home.php HTTP
37,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,302,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
38,10.130.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
39,10.129.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,302,Nov,29,GET ,details.php?id=44 HTTP
40,10.128.2.1,29/Nov/2017,GET /countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
41,10.128.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Nov,29,GET ,home.php HTTP
42,10.128.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Nov,29,GET ,compiler.php HTTP
43,10.128.2.1,29/Nov/2017,GET /compiler.php HTTP/1.1,200,Nov,29,GET ,compiler.php HTTP
44,10.131.2.1,29/Nov/2017,GET /logout.php HTTP/1.1,302,Nov,29,GET ,logout.php HTTP
45,10.129.2.1,29/Nov/2017,GET /login.php HTTP/1.1,200,Nov,29,GET ,login.php HTTP
46,10.129.2.1,29/Nov/2017,POST /process.php HTTP/1.1,302,Nov,29,POST ,process.php HTTP
47,10.131.2.1,29/Nov/2017,GET /home.php HTTP/1.1,200,Nov,29,GET ,home.php HTTP
48,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
49,10.131.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,200,Nov,29,GET ,details.php?id=44 HTTP
50,10.128.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
51,10.131.2.1,29/Nov/2017,GET /details.php?id=44 HTTP/1.1,200,Nov,29,GET ,details.php?id=44 HTTP
52,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Nov,29,GET ,contest.php HTTP
53,10.131.2.1,29/Nov/2017,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,Nov,29,GET ,contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP
54,10.131.2.1,29/Nov/2017,GET /details.php?id=46 HTTP/1.1,200,Nov,29,GET ,details.php?id=46 HTTP
55,10.131.2.1,29/Nov/2017,GET /contest.php HTTP/1.1,200,Nov,29,GET ,contest.php HTTP
